abo subject to optimization,cost to serve,cost of good,cost of warehouse,cost of carrier incl penalty,cost of penalty,CG of CTS,CW of CTS,CC of CTS,model gen time,model opt time,total parcels shipped,levelized parcel value,w_T,w_O,w_R,c_T,c_O,c_R,N_T,N_O,N_R,rel warehouse savings vs 80 [%],rel carrier savings vs 80 [%]
700.0,0.8166000000000001,0.7214285714285714,0.03214285714285714,0.06302857142857143,3.5,88.34540428956298,3.936181379237955,7.718414331199049,0.07286887499503791,0.4837108328938484,6.0,95.27000000000002,0.635,0.912,1.3,1.5,2.45,10.7,156.0,32.0,18.0,68.83116883116884,51.28226363008971
720.0,0.8031666666666666,0.7097222222222223,0.03125,0.06219444444444445,3.5,88.36549768278344,3.8908487238016187,7.743653593414956,0.06675037508830428,0.48782266699709,6.0,96.38,0.635,0.912,1.3,1.5,2.45,10.7,160.0,32.0,18.0,69.6969696969697,51.92699946323134
740.0,0.8113513513513514,0.7184459459459459,0.03040540540540541,0.0625,3.5,88.54930046635575,3.7475016655562956,7.7031978680879405,0.06766404211521149,0.5782887500245124,6.0,100.0666666666667,0.635,0.912,1.3,1.5,2.45,10.7,165.0,33.0,19.0,70.51597051597052,51.690821256038646
760.0,0.8011184101115133,0.7106578947368422,0.02960525994323624,0.06085525543143484,3.5,88.7082216270527,3.6954911495686726,7.5962872233786225,0.08269224991090596,0.7585926249157637,5.999999142757733,101.4750131122367,0.635,0.912,1.3,1.5,2.45,10.7,169.0,34.0,19.0,71.29186914595273,52.962121405654216
780.0,0.8079743515895572,0.7189102564102564,0.02884615177054389,0.06021794340875693,3.5,88.97686603490794,3.5701816170022993,7.452952348089761,0.07354775001294911,1.013245749985799,5.999999431938328,105.036675651194,0.635,0.912,1.3,1.5,2.45,10.7,174.0,35.0,20.0,72.02797404068471,53.45472973236179
800.0,0.7983374962398451,0.7115,0.02812499891424099,0.05871249732560412,3.5,89.12270854759447,3.5229460030011395,7.3543454494044065,0.07497858395799994,1.321085416013375,5.999999695225539,106.4450049055992,0.635,0.912,1.3,1.5,2.45,10.7,178.0,36.0,20.0,72.72727378012995,54.6183595550886
820.0,0.8043780477977454,0.7193292682926828,0.02743902411402933,0.05760975539103317,3.5,89.4267652209167,3.4112099639159537,7.162024815167345,0.07519495813176036,1.244975249981508,5.999999920527737,109.931667988445,0.635,0.912,1.3,1.5,2.45,10.7,183.0,37.0,21.0,73.39246146518367,55.470720470699
840.0,0.8029880952380956,0.7122619047619048,0.03017857142857143,0.06054761904761905,3.5,88.7014277030733,3.7582837911965714,7.540288505730083,0.08168020797893405,0.8078089589253068,7.0,96.35857142857147,0.635,0.912,1.3,1.5,2.45,10.7,187.0,38.0,21.0,70.73593073593074,53.19990798251667
860.0,0.8097325559606896,0.7197093023255814,0.02947674337749056,0.06054651025761742,3.5,88.8823472673268,3.6403060690228166,7.477346663650361,0.08793629193678498,0.63139916700311,6.999999756014695,99.4814317711715,0.635,0.912,1.3,1.5,2.45,10.7,192.0,39.0,22.0,71.41649127031218,53.20076501826673
880.0,0.8026022727272728,0.7129545454545454,0.02880681818181818,0.06084090909090908,3.5,88.83036712964928,3.5891772501380452,7.580455620212659,0.08067104103974998,0.6680127501022071,7.0,100.8985714285714,0.635,0.912,1.3,1.5,2.45,10.7,196.0,40.0,22.0,72.06611570247934,52.97321036451472
900.0,0.8038222222222222,0.7156666666666667,0.02816666666666667,0.05998888888888889,3.5,89.03295366581887,3.5040915625345574,7.462954771646578,0.08218370797112584,1.315531707834452,7.0,103.3485714285714,0.635,0.912,1.3,1.5,2.45,10.7,200.0,40.0,23.0,72.68686868686869,53.631776704240465
920.0,0.7972717391304348,0.7109239130434782,0.02755434782608696,0.05879347826086957,3.5,89.16958649743009,3.456079837489264,7.374333665080643,0.08430916699580848,0.5799870409537107,7.0,104.7842857142857,0.635,0.912,1.3,1.5,2.45,10.7,205.0,41.0,23.0,73.28063241106719,54.555765595463136
940.0,0.8045851063829789,0.7161702127659574,0.02696808510638298,0.0614468085106383,3.5,89.01111977892661,3.351800187753699,7.63708003331967,0.08626695815473795,0.5676552078220993,7.0,108.0442857142857,0.635,0.912,1.3,1.5,2.45,10.7,209.0,42.0,24.0,73.84912959381045,52.50488231061774
960.0,0.7984687500000002,0.7116145833333333,0.02640625,0.06044791666666666,3.5,89.12240877721678,3.307111267660757,7.570479955122433,0.08817945793271065,0.8753720831591636,7.0,109.5042857142857,0.635,0.912,1.3,1.5,2.45,10.7,214.0,43.0,24.0,74.39393939393939,53.27697262479872
980.0,0.8083163265306123,0.7166326530612245,0.02877551020408164,0.06290816326530613,3.5,88.65745124029539,3.559931831092597,7.782616928612006,0.09122004103846848,4.235797291854396,8.0,99.01875,0.635,0.912,1.3,1.5,2.45,10.7,218.0,44.0,25.0,72.0964749536178,51.375332741792356
1000.0,0.8033100000000002,0.71225,0.0282,0.06286,3.5,88.66440104069412,3.510475407999402,7.825123551306468,0.1047229999676347,0.8444890410173684,8.0,100.41375,0.635,0.912,1.3,1.5,2.45,10.7,223.0,45.0,25.0,72.65454545454546,51.41256038647343
